column,attribute,helper_function,default_value
zone_to_analyze,zone_to_analyze,,
analysis_year,analysis_year,,
number_of_monte_carlo_draws,number_of_monte_carlo_draws,,
parallel_processing,,,FALSE
output_intermediate_results,output_dispatch_results,,
target_PRM,,get_target_prm,
target_metric,,get_target_metric,
target_metric_value,target_metric_value,,
peak_month,,,1
generator_capacity_accounting,,,elcc
calc_marginal_CV,,,FALSE
marginal_CV_step,,,100
operating_reserves_up_mw,,get_operating_reserves_up_mw,
storage_reserve_deployment_fraction,,,0
hydro_dispatch_heuristic,,,minimize_net_load
hydro_dispatch_order,,,after_gen
hydro_dispatch_window,,,monthly
hydro_constrained_dispatch,,,FALSE
maintenance_schedule,,,ideal
day_window_variable_draws,day_window_variable_draws,,
variable_draws_probability_function,,,normal_multivariate
unserved_energy_threshold,,,0.005
simultaneous_import_limit_mw,,,5000
draw_settings,draw_settings,,
hydro_seg_num,,,4
min_ue_event_length_hrs,,,24
