column,attribute,helper_function,default_value
name,name,,
zone,,get_zone,
capacity_mw,capacity_planned,,
max_monthly_calls_1,max_monthly_calls,,
max_monthly_calls_2,max_monthly_calls,,
max_monthly_calls_3,max_monthly_calls,,
max_monthly_calls_4,max_monthly_calls,,
max_monthly_calls_5,max_monthly_calls,,
max_monthly_calls_6,max_monthly_calls,,
max_monthly_calls_7,max_monthly_calls,,
max_monthly_calls_8,max_monthly_calls,,
max_monthly_calls_9,max_monthly_calls,,
max_monthly_calls_10,max_monthly_calls,,
max_monthly_calls_11,max_monthly_calls,,
max_monthly_calls_12,max_monthly_calls,,
max_annual_calls,max_annual_calls,,
max_call_duration_hr,max_call_duration_hr,,
dispatch_window,,get_dispatch_window,
shaped_dr_flag,,,flat
commission_date,,,1/1/1900
retirement_date,,,1/1/2100
include,,,1
