column,attribute,helper_function,default_value
name,name,,
zone,,get_zone,
charging_capacity_mw,capacity_planned,,
discharging_capacity_mw,capacity_planned,,
capacity_mwh,storage_capacity_planned,,
charging_efficiency,charging_efficiency,,
discharging_efficiency,discharging_efficiency,,
paired_resource,paired_resource,,
paired_resource_type,,,renewable
single_interconnection_point,,,1
hybrid_resource_interconnection_mw,hybrid_resource_interconnection_limit,,
storage_interconnection_mw,,,blank
gen_interconnection_mw,,,blank
grid_charging_allowed,grid_charging_allowed,,
charge_from_gen_threshold,,,blank
commission_date,,,1/1/1900
retirement_date,,,1/1/2100
forced_outage_factor,stochastic_outage_rate,,
mean_time_to_repair_hr,mean_time_to_repair,,
forced_outage_distribution_number,,,64
maint_1,,,0
maint_2,,,0
maint_3,,,0
maint_4,,,0
maint_5,,,0
maint_6,,,0
maint_7,,,0
maint_8,,,0
maint_9,,,0
maint_10,,,0
maint_11,,,0
maint_12,,,0
maint_time_hr,,,24
maintenance_outage_distribution_number,,,64
include,,,1
random_seed,random_seed,,
