column,attribute,helper_function,default_value
name,name,,
zone,,get_zone,
capacity_mw,capacity_planned,,
capacity_mwh,capacity_planned,,
charging_efficiency,charging_efficiency,,
discharging_efficiency,discharging_efficiency,,
charge_from_gen_threshold,,,1
commission_date,,,1/1/1900
retirement_date,,,1/1/2100
forced_outage_factor,stochastic_outage_rate,,
mean_time_to_repair_hr,mean_time_to_repair,,
forced_outage_distribution_number,,,64
maint_1,,,0
maint_2,,,0
maint_3,,,0
maint_4,,,0
maint_5,,,0
maint_6,,,0
maint_7,,,0
maint_8,,,0
maint_9,,,0
maint_10,,,0
maint_11,,,0
maint_12,,,0
maint_time_hr,,,24
maintenance_outage_distribution_number,,,64
include,,,1
random_seed,random_seed,,
